Movie Title,IMDB_Score,IMDB_Votes
The Fundamentals of Caring,7.3,70542.0
Winter on Fire: Ukraine's Fight for Freedom,8.3,17710.0
Batman: The Killing Joke,6.4,55806.0
Cop Car,6.3,32547.0
Bastille Day,6.3,42763.0
Sinister 2,5.3,53733.0
Other People,6.8,11243.0
13th,8.2,34914.0
American Ultra,6.1,89912.0
Spectral,6.3,58407.0
"Crouching Tiger, Hidden Dragon: Sword of Destiny",6.1,19275.0
Advantageous,6.2,5378.0
The Bye Bye Man,4.3,23588.0
Beasts of No Nation,7.7,80129.0
Self/less,6.5,98127.0
Collateral Beauty,6.7,99053.0
Team Foxcatcher,7.3,6496.0
"What Happened, Miss Simone?",7.6,13703.0
Circle,6.0,52925.0
The Forest,4.8,42148.0
Demonic,5.3,14882.0
The Siege of Jadotville,7.2,38308.0
Hyena Road,6.5,7665.0
Barry,5.9,7116.0
Into the Inferno,7.2,8512.0
Ip Man 3,7.0,54128.0
Frank & Lola,5.9,6029.0
Blue Jay,7.3,17033.0
Bert Kreischer: The Machine,7.6,1513.0
ARQ,6.3,38463.0
Ratchet & Clank,5.5,10764.0
Dangal,8.4,180247.0
Bill Hicks: Reflections,,
Pee-wee's Big Holiday,6.1,7985.0
Headshot,6.3,14608.0
The Young Messiah,5.6,3542.0
Marauders,5.5,21929.0
White Girl,5.7,10646.0
Our Brand Is Crisis,6.1,22147.0
The Ridiculous 6,4.8,47935.0
Special Correspondents,5.8,23669.0
Jem and the Holograms,4.1,7804.0
Mascots,5.8,7381.0
Mindhorn,6.3,12474.0
The Do-Over,5.7,45146.0
Bo Burnham: Make Happy,8.4,14356.0
7 Years,6.7,4872.0
For the Love of Spock,7.6,4349.0
Suffragette,6.9,41529.0
The Girl King,5.8,4065.0
Boyka: Undisputed IV,,
Dream/Killer,7.4,1938.0
Amanda Knox,6.9,23969.0
Tallulah,6.7,20111.0
By the Sea,5.3,20541.0
Marco Polo: One Hundred Eyes,7.8,10742.0
Ares,6.2,3994.0
Results,5.4,7073.0
I Am the Pretty Thing That Lives in the House,4.6,14491.0
Legends of the Hidden Temple,5.7,896.0
David Brent: Life on the Road,6.3,20005.0
