Show_ID,Movie Title,Director,Country,Release_Year,Rating_class,Duration,Categories,Type,IMDB_Score,IMDB_Votes
s388,Mimi,Laxman Utekar,,2021,TV-14,132,"Comedies, Dramas, International Movies",Movie,,
s390,The Operative,Yuval Adler,"France, Israel, Germany, United States, United Kingdom",2019,TV-MA,117,"Dramas, International Movies, Thrillers",Movie,5.7,6099.0
s393,Django Unchained,Quentin Tarantino,United States,2012,R,165,"Action & Adventure, Dramas",Movie,8.4,1472668.0
s395,African America,Muzi Mthembu,,2021,TV-MA,97,"Dramas, Independent Movies, International Movies",Movie,5.2,63.0
s396,Bankrolled,Marcos Bucay,,2021,TV-MA,97,"Comedies, International Movies",Movie,4.0,306.0
s397,Blood Red Sky,Peter Thorwarth,,2021,TV-MA,123,"Action & Adventure, Horror Movies, International Movies",Movie,6.1,44006.0
s399,Kingdom: Ashin of the North,Kim Seong-hun,,2021,TV-MA,94,"Horror Movies, International Movies, Thrillers",Movie,7.2,4890.0
s403,The Last Letter From Your Lover,Augustine Frizzell,United Kingdom,2021,TV-MA,111,"Dramas, Romantic Movies",Movie,6.6,16302.0
s415,Chhota Bheem Aur Hanuman,Rajiv Chilaka,,2012,TV-Y7,68,Children & Family Movies,Movie,7.1,33.0
s418,Chhota Bheem in African Safari,Binayak Das,,2015,TV-Y7,62,Children & Family Movies,Movie,6.5,12.0
s419,Chhota Bheem Ka Roosi Romanch,"Arpan Sarkar, Shyamal Chaulia",,2019,TV-Y,63,Children & Family Movies,Movie,,
s423,Chhota Bheem: Journey to Petra,Rajiv Chilaka,,2011,TV-Y7,68,Children & Family Movies,Movie,,
s427,Cousins,"Ainsley Gardiner, Briar Grace-Smith",New Zealand,2021,TV-MA,99,Dramas,Movie,6.9,474.0
s429,Words Bubble Up Like Soda Pop,Kyohei Ishiguro,,2021,TV-G,87,"Anime Features, Children & Family Movies, International Movies",Movie,,
s430,Sanitation Day,Seyi Babatope,Nigeria,2020,TV-14,105,"Dramas, International Movies, Thrillers",Movie,3.3,17.0
s433,Trollhunters: Rise of the Titans,"Johane Matte, Andrew L. Schmidt, Francisco Ruiz Velasco",,2021,TV-Y7,106,Children & Family Movies,Movie,6.7,4614.0
s434,Milkwater,Morgan Ingari,United States,2020,TV-MA,102,"Comedies, Dramas, Independent Movies",Movie,,
s437,The Tambour of Retribution,Abdulaziz Alshlahei,Saudi Arabia,2021,TV-14,91,"Dramas, International Movies, Romantic Movies",Movie,6.9,966.0
s438,Cosmic Sin,Edward Drake,United States,2021,R,88,Action & Adventure,Movie,2.5,12284.0
s439,2 Weeks in Lagos,Kathryn Fasegha,,2020,TV-PG,107,"Dramas, International Movies, Romantic Movies",Movie,6.6,33.0
s440,Deep,"Sita Likitvanichkul, Jetarin Ratanaserikiat, Apirak Samudkitpaisan, Thanabodee Uawithya, Adirek Wattaleela",Thailand,2021,TV-MA,101,"Dramas, International Movies, Thrillers",Movie,4.8,1380.0
s446,The Beguiled,Sofia Coppola,United States,2017,R,94,"Dramas, Independent Movies, Thrillers",Movie,6.8,21.0
s447,The Book of Henry,Colin Trevorrow,United States,2017,PG-13,105,Dramas,Movie,6.5,27052.0
s453,A Perfect Fit,Hadrah Daeng Ratu,Indonesia,2021,TV-PG,113,"Comedies, Dramas, International Movies",Movie,5.3,557.0
s458,Lift Like a Girl,Mayye Zayed,"Egypt, Denmark, Germany",2021,TV-PG,93,"Documentaries, International Movies, Sports Movies",Movie,7.8,208.0
s459,My Amanda,Alessandra de Rossi,,2021,TV-14,90,"Dramas, International Movies, Romantic Movies",Movie,5.6,301.0
s462,The Unknown Saint,Alaa Eddine Aljem,,2019,TV-14,100,"Comedies, Dramas, Independent Movies",Movie,6.5,1092.0
s463,This Changes Everything,Tom Donahue,United States,2019,TV-MA,96,Documentaries,Movie,7.6,1507.0
s464,A Classic Horror Story,"Roberto De Feo, Paolo Strippoli",Italy,2021,TV-MA,95,"Horror Movies, International Movies",Movie,,
s465,Gunpowder Milkshake,Navot Papushado,,2021,R,115,"Action & Adventure, Comedies",Movie,6.0,40888.0
s468,Private Network: Who Killed Manuel Buendía?,Manuel Alcalá,,2021,TV-MA,100,"Documentaries, International Movies",Movie,6.8,220.0
s469,The Guide to the Perfect Family,Ricardo Trogi,,2021,TV-MA,102,"Comedies, Dramas, International Movies",Movie,6.4,1632.0
s470,American Woman,Semi Chellas,"United States, Canada",2019,TV-MA,87,"Dramas, Independent Movies",Movie,,
s471,Bridgerton - The Afterparty,,,2021,TV-14,39,Movies,Movie,,
s475,American Ultra,Nima Nourizadeh,"United States, Switzerland",2015,R,96,"Action & Adventure, Comedies",Movie,6.1,89912.0
s477,The Tour,Juraj Šajmovič,,2016,TV-MA,93,"Comedies, Documentaries, International Movies",Movie,,
s481,Finding Hubby,Femi D. Ogunsanwo,,2020,TV-14,105,"Comedies, Dramas, International Movies",Movie,,
s484,Last Summer,,,2021,TV-MA,102,"Dramas, International Movies, Romantic Movies",Movie,6.3,2774.0
s485,Lee Su-geun: The Sense Coach,Kim Joo-hyung,,2021,TV-G,46,Stand-Up Comedy,Movie,4.1,38.0
s486,Lethal Love,Avi Federgreen,,2021,TV-14,89,Thrillers,Movie,4.4,215.0
s490,Back to Q82,Ahmed Siddiqui,"Kuwait, United States",2017,TV-14,104,"Comedies, International Movies",Movie,6.0,94.0
s492,Home Again,Hallie Meyers-Shyer,United States,2017,PG-13,97,"Comedies, Dramas, Romantic Movies",Movie,5.8,31620.0
s493,Midnight Sun,Scott Speer,United States,2018,PG-13,91,"Dramas, Romantic Movies",Movie,6.6,29565.0
s495,Rock the Kasbah,Barry Levinson,United States,2015,R,106,"Comedies, Music & Musicals",Movie,5.5,11963.0
s496,Awon Boyz,Tolulope Itegboje,,2019,TV-MA,38,"Documentaries, International Movies",Movie,,
s497,Brick Mansions,Camille Delamarre,"France, Canada, United States, Spain",2014,PG-13,90,"Action & Adventure, International Movies",Movie,5.6,42137.0
s499,Clash,Pascal Atuma,,2020,TV-MA,87,"Dramas, International Movies",Movie,6.5,32.0
s501,Major Grom: Plague Doctor,Oleg Trofim,,2021,TV-MA,138,"Action & Adventure, International Movies",Movie,6.3,11715.0
s502,Mama Drama,Seyi Babatope,,2020,TV-MA,105,"Dramas, International Movies",Movie,6.3,8.0
s508,Three Thieves,Udoka Oyeka,,2019,TV-14,108,"Comedies, International Movies",Movie,,
s509,A Land Imagined,Yeo Siew Hua,"France, Netherlands, Singapore",2019,TV-MA,95,"Dramas, International Movies",Movie,6.2,1289.0
s532,Rise: Ini Kalilah,"Saw Teong Hin, Nik Amir Mustapha, M.S. Prem Nath",Malaysia,2018,TV-PG,101,"Dramas, International Movies",Movie,5.1,40.0
s535,Si Doel the Movie 2,Rano Karno,Indonesia,2019,TV-G,95,"Dramas, International Movies",Movie,7.0,182.0
s552,Haseen Dillruba,Vinil Mathew,India,2021,TV-MA,136,"International Movies, Romantic Movies, Thrillers",Movie,7.0,25771.0
s553,Holiday on Mars,Neri Parenti,,2020,TV-MA,94,"Comedies, International Movies",Movie,2.7,564.0
s557,The 8th Night,Kim Tae-hyung,South Korea,2021,TV-14,116,"Horror Movies, International Movies, Thrillers",Movie,5.3,3181.0
s559,6 Bullets,Ernie Barbarash,United States,2012,R,115,Action & Adventure,Movie,6.0,14898.0
s561,Audible,Matt Ogens,,2021,PG-13,39,"Documentaries, Sports Movies",Movie,5.3,
s570,Dreamy Eyes,Victor Vu,Vietnam,2019,TV-14,117,"Dramas, International Movies, Romantic Movies",Movie,,
s571,Dynasty Warriors,Chow Hin Yeung Roy,,2021,TV-14,118,"Action & Adventure, International Movies",Movie,4.7,2079.0
s573,Hampstead,Joel Hopkins,"United Kingdom, Belgium",2019,PG-13,103,"Comedies, Dramas, International Movies",Movie,6.0,6254.0
s577,Mary Magdalene,Garth Davis,"United Kingdom, Australia, United States",2019,R,120,"Dramas, Faith & Spirituality, International Movies",Movie,5.9,10234.0
s581,Mobile Suit Gundam Hathaway,Shuko Murase,,2021,TV-14,96,"Action & Adventure, Anime Features, International Movies",Movie,6.6,1331.0
s586,Ophelia,Claire McCarthy,"United Kingdom, United States",2018,PG-13,106,"Dramas, Romantic Movies",Movie,6.6,10357.0
s590,Red Joan,Trevor Nunn,United Kingdom,2019,R,101,"Dramas, International Movies",Movie,6.4,12124.0
s597,Sword of Trust,Lynn Shelton,United States,2019,R,89,"Comedies, Dramas, Independent Movies",Movie,6.3,3558.0
s600,The Best of Enemies,Robin Bissell,United States,2019,PG-13,133,Dramas,Movie,7.3,16441.0
s614,Voiceless,Robert O. Peters,Nigeria,2020,TV-MA,112,"Dramas, International Movies, Thrillers",Movie,6.8,31.0
s619,America: The Motion Picture,Matt Thompson,United States,2021,TV-MA,98,"Action & Adventure, Comedies",Movie,5.6,6165.0
s620,Deranged,Jameel Buari,,2020,TV-14,98,"Dramas, International Movies",Movie,3.5,11.0
s623,Lying and Stealing,Matt Aselton,United States,2019,R,100,Thrillers,Movie,5.4,5596.0
s624,Mommy Issues,Jose Javier Reyes,,2021,TV-MA,90,"Comedies, Dramas, International Movies",Movie,5.4,38.0
s625,Prime Time,Jakub Piątek,,2021,TV-MA,92,"Dramas, International Movies, Thrillers",Movie,5.2,1757.0
s631,Killing Them Softly,Andrew Dominik,United States,2012,R,97,Dramas,Movie,6.2,141289.0
s634,Into the Wind,Sofie Šustková,,2018,TV-MA,76,"Dramas, Independent Movies, International Movies",Movie,4.2,42.0
s635,Wonder Boy,Anissa Bonnefont,France,2019,TV-14,83,"Documentaries, International Movies",Movie,,
s637,The Ice Road,Jonathan Hensleigh,"United States, Canada",2021,PG-13,109,Action & Adventure,Movie,5.6,37401.0
s642,Sisters on Track,,,2021,PG,97,"Documentaries, Sports Movies",Movie,5.8,195.0
s644,The Seventh Day,Justin P. Lange,United States,2021,R,87,Horror Movies,Movie,4.5,4248.0
s645,Good on Paper,Kimmy Gatewood,,2021,TV-MA,94,"Comedies, Romantic Movies",Movie,5.6,11401.0
s646,Murder by the Coast,Tània Balló,,2021,TV-14,89,"Documentaries, International Movies",Movie,6.5,2054.0
s647,The House of Flowers: The Movie,Manolo Caro,,2021,TV-MA,88,"Comedies, International Movies, Music & Musicals",Movie,5.5,836.0
s657,Love Is a Story,Cristina Jacob,Romania,2015,TV-MA,105,"International Movies, Music & Musicals, Romantic Movies",Movie,6.0,365.0
s684,A Family,Michihito Fujii,,2021,TV-MA,135,"Dramas, International Movies",Movie,7.0,2158.0
s686,Fatherhood,Paul Weitz,United States,2021,PG-13,111,Dramas,Movie,6.6,34661.0
s688,Jagame Thandhiram,Karthik Subbaraj,,2021,TV-MA,159,"Action & Adventure, Dramas, International Movies",Movie,6.0,11596.0
s689,Kambili: The Whole 30 Yards,Kayode Kasum,Nigeria,2020,TV-14,119,"Comedies, International Movies, Romantic Movies",Movie,6.6,37.0
s691,Rurouni Kenshin: The Final,Keishi Otomo,,2021,TV-14,137,"Action & Adventure, International Movies",Movie,7.2,8367.0
s694,Ali & Ratu Ratu Queens,Lucky Kuswandi,,2021,TV-14,101,"Comedies, Dramas, International Movies",Movie,7.0,1185.0
s695,Aziza,Soudade Kaadan,"Lebanon, Syria",2019,TV-PG,13,"Comedies, Dramas, Independent Movies",Movie,,
s699,Fan Girl,Antoinette Jadaone,Philippines,2020,TV-MA,101,"Dramas, Independent Movies, International Movies",Movie,6.7,366.0
s702,Red Snow,Marie Clements,Canada,2019,TV-MA,96,Dramas,Movie,4.6,154.0
